Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.91,0.73,0.2
moral,0.78,0.73,0.41,0.07
verw,0.89,0.79,0.46,0.01
sparkont,0.75,0.75,0.37,0.09
beszeit,0.95,0.93,0.79,0.2
rate,0.93,0.93,0.77,0.37
famges,0.81,0.79,0.52,0.12
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.94,0.8,0.33
verm,0.98,0.98,0.92,0.52
weitkred,0.47,0.53,0.23,0.06
wohn,0.72,0.76,0.46,0.18
bishkred,0.65,0.58,0.32,0.02
beruf,0.72,0.7,0.39,0.02
pers,0.54,0.64,0.37,0.19
telef,0.96,0.97,0.92,0.67
gastarb,0.26,0.36,0.15,0.07
kredit,0.81,0.86,0.68,0.39
