Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.93,0.49
moral,0.81,0.77,0.45,0.09
verw,0.89,0.77,0.45,0.0
sparkont,0.98,0.98,0.9,0.45
beszeit,0.93,0.91,0.73,0.12
rate,0.91,0.91,0.72,0.29
famges,0.92,0.91,0.74,0.31
buerge,0.33,0.4,0.14,0.04
wohnzeit,0.92,0.92,0.75,0.31
verm,1.0,1.0,0.99,0.83
weitkred,0.57,0.61,0.31,0.07
wohn,0.77,0.8,0.52,0.2
bishkred,0.67,0.59,0.33,0.02
beruf,0.75,0.7,0.43,0.01
pers,0.63,0.72,0.46,0.25
telef,0.96,0.97,0.92,0.67
gastarb,0.3,0.41,0.18,0.09
kredit,0.85,0.89,0.74,0.44
