Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.84
moral,0.77,0.73,0.41,0.07
verw,0.89,0.8,0.49,0.03
sparkont,1.0,1.0,0.99,0.79
beszeit,0.95,0.94,0.8,0.21
rate,0.92,0.92,0.73,0.33
famges,1.0,1.0,0.98,0.74
buerge,0.35,0.43,0.15,0.06
wohnzeit,0.94,0.94,0.8,0.36
verm,0.99,0.99,0.98,0.71
weitkred,0.5,0.56,0.25,0.06
wohn,1.0,1.0,0.99,0.81
bishkred,0.67,0.6,0.34,0.03
beruf,0.72,0.7,0.39,0.02
pers,0.58,0.67,0.41,0.21
telef,0.98,0.98,0.95,0.73
gastarb,0.99,0.99,0.98,0.8
kredit,0.85,0.89,0.74,0.44
