21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,24, Ecuador, <=50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,54, Germany, <=50K
48, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, England, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, United-States, >50K
37, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, England, >50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
26, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,36, Yugoslavia, <=50K
60, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
32, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
31, Private, 9th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, Japan, >50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,1579,40, Poland, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Canada, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Taiwan, <=50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,25, Vietnam, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,16, Columbia, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Yugoslavia, >50K
29, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Nicaragua, >50K
18, Private, 11th, Never-married, Other-service, Other-relative, Black, Male,0,0,8, Yugoslavia, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,15, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Mexico, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,1848,40, Columbia, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, France, <=50K
41, Private, Bachelors, Divorced, Prof-specialty, Own-child, Other, Male,0,0,40, Ecuador, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Guatemala, <=50K
33, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,36, Canada, >50K
36, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,38, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,35, England, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Holand-Netherlands, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,4257,0,50, Honduras, >50K
44, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,30, Ecuador, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,25, Poland, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,16, Outlying-US(Guam-USVI-etc), <=50K
44, Private, Bachelors, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
57, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Greece, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Peru, <=50K
57, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Taiwan, >50K
31, Federal-gov, 9th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,45, India, <=50K
29, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
42, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Unmarried, Other, Male,0,0,65, Nicaragua, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,10, Hungary, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,35, Yugoslavia, <=50K
33, Private, Assoc-acdm, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Dominican-Republic, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,30, El-Salvador, <=50K
45, Self-emp-inc, Assoc-voc, Married-spouse-absent, Prof-specialty, Not-in-family, Black, Female,0,0,45, Ireland, <=50K
66, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,4012,0,40, Portugal, <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
64, Self-emp-not-inc, 10th, Married-civ-spouse, Transport-moving, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
29, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,94077,0,60, Nicaragua, >50K
