56, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,47, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,5013,0,40, Vietnam, <=50K
44, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, >50K
31, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,52, Guatemala, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, United-States, >50K
30, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Male,0,0,35, Mexico, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, Germany, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,24, Germany, >50K
64, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,46, United-States, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
18, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,20, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,48, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,45, United-States, >50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
49, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
47, Federal-gov, HS-grad, Widowed, Other-service, Husband, Black, Male,0,0,20, United-States, <=50K
38, Private, Assoc-voc, Widowed, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
49, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,17, Vietnam, <=50K
20, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Puerto-Rico, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
55, Self-emp-not-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
20, Private, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,70, United-States, <=50K
66, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,15, United-States, >50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,25, United-States, >50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,4519,0,60, Iran, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,2137,0,35, Yugoslavia, >50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
39, Private, Assoc-voc, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, United-States, <=50K
59, Private, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
