Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.8,0.76,0.44,0.08
verw,0.88,0.76,0.44,0.01
sparkont,1.0,1.0,0.98,0.77
beszeit,0.95,0.94,0.79,0.22
rate,0.9,0.91,0.7,0.32
famges,1.0,1.0,0.99,0.78
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.94,0.93,0.79,0.31
verm,1.0,1.0,0.99,0.78
weitkred,0.52,0.57,0.27,0.06
wohn,0.99,1.0,0.98,0.78
bishkred,0.67,0.61,0.34,0.03
beruf,0.72,0.69,0.39,0.02
pers,0.56,0.66,0.39,0.2
telef,0.96,0.97,0.93,0.68
gastarb,0.98,0.99,0.97,0.77
kredit,0.84,0.88,0.72,0.43
