Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.47,0.03
sparkont,0.72,0.71,0.34,0.07
beszeit,0.94,0.92,0.77,0.17
rate,0.91,0.91,0.71,0.3
famges,0.79,0.76,0.48,0.08
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.92,0.92,0.75,0.32
verm,0.98,0.98,0.93,0.51
weitkred,0.51,0.56,0.26,0.06
wohn,0.69,0.74,0.43,0.16
bishkred,0.64,0.56,0.31,0.01
beruf,0.73,0.71,0.4,0.04
pers,0.51,0.61,0.34,0.17
telef,0.97,0.98,0.93,0.69
gastarb,0.15,0.24,0.08,0.04
kredit,0.84,0.88,0.72,0.42
