Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.92,0.49
moral,0.79,0.76,0.43,0.08
verw,0.88,0.76,0.46,0.01
sparkont,0.95,0.95,0.79,0.36
beszeit,0.94,0.93,0.77,0.18
rate,0.92,0.92,0.75,0.32
famges,0.95,0.95,0.84,0.42
buerge,0.3,0.38,0.13,0.05
wohnzeit,0.94,0.93,0.79,0.33
verm,1.0,1.0,0.99,0.82
weitkred,0.59,0.62,0.32,0.07
wohn,0.95,0.95,0.86,0.46
bishkred,0.65,0.59,0.32,0.03
beruf,0.74,0.71,0.41,0.03
pers,0.58,0.67,0.41,0.21
telef,0.96,0.97,0.92,0.66
gastarb,0.86,0.9,0.75,0.45
kredit,0.87,0.9,0.77,0.47
