30, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
57, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Japan, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female,0,0,60, Germany, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, France, <=50K
41, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, France, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,49, England, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,10, Yugoslavia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, El-Salvador, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, United-States, <=50K
42, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Laos, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Black, Female,7687,0,38, Portugal, >50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,30, Canada, >50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,66, Ecuador, <=50K
59, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,50, Thailand, <=50K
63, Self-emp-not-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,95, Vietnam, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, Columbia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,5178,0,40, Yugoslavia, >50K
25, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,0,0,35, El-Salvador, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,27, Nicaragua, <=50K
70, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,3029,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1898,45, Columbia, >50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, France, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
48, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,50, Haiti, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,54, Canada, >50K
22, State-gov, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,50, England, >50K
40, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Honduras, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,55, Ecuador, <=50K
33, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, Puerto-Rico, <=50K
23, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Peru, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,30, Peru, >50K
35, Private, Some-college, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
52, Private, 9th, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, Poland, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Thailand, >50K
36, Local-gov, 9th, Divorced, Priv-house-serv, Unmarried, Asian-Pac-Islander, Male,0,0,50, Germany, <=50K
30, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,7298,0,76, Iran, >50K
65, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,5, Portugal, <=50K
36, Self-emp-inc, Assoc-voc, Separated, Other-service, Wife, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, India, <=50K
31, Private, Masters, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Dominican-Republic, >50K
33, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,70, El-Salvador, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,50, Italy, >50K
27, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Puerto-Rico, <=50K
18, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,1737,40, Ecuador, <=50K
23, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,27, Nicaragua, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,35, Outlying-US(Guam-USVI-etc), >50K
47, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,8, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7375,0,60, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, China, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,50, Haiti, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,3966,0,66, Hong, >50K
25, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Nicaragua, <=50K
62, Private, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Greece, <=50K
55, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,38, Guatemala, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,20, Peru, <=50K
41, Private, 5th-6th, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,50, Cuba, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, England, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
53, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, >50K
45, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
49, Private, Some-college, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Hungary, >50K
26, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Laos, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
60, Private, Prof-school, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Iran, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
41, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
33, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
66, Private, HS-grad, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Germany, <=50K
22, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1668,46, Guatemala, >50K
31, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
32, Local-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, Other, Male,3107,0,66, Nicaragua, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,7137,0,50, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1977,50, United-States, <=50K
34, Private, Some-college, Divorced, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Japan, <=50K
52, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Germany, <=50K
39, State-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,37, Hong, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Without-pay, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, <=50K
48, Private, Assoc-voc, Divorced, Other-service, Husband, Black, Male,0,0,30, England, <=50K
42, Private, HS-grad, Married-spouse-absent, Sales, Husband, Other, Male,0,0,40, Haiti, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, United-States, >50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
33, Private, Prof-school, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Scotland, <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Trinadad&Tobago, >50K
51, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, Other, Male,0,0,35, United-States, <=50K
64, Private, Masters, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,2695,0,40, South, <=50K
33, Private, 9th, Separated, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
36, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, Other, Male,0,0,79, United-States, <=50K
62, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Scotland, <=50K
22, State-gov, HS-grad, Never-married, Protective-serv, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
43, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
48, State-gov, HS-grad, Widowed, Farming-fishing, Unmarried, White, Male,0,0,12, India, <=50K
44, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,45, Puerto-Rico, >50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,45, Mexico, >50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,89, Italy, <=50K
35, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Scotland, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, Cuba, <=50K
23, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Hong, <=50K
54, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, United-States, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
22, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Iran, <=50K
46, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,55, Peru, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Scotland, <=50K
45, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
26, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,50, Hong, >50K
61, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,35, Hong, >50K
36, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
31, Private, Masters, Never-married, Sales, Own-child, Black, Female,0,0,40, Iran, <=50K
38, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Mexico, >50K
53, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, Philippines, <=50K
36, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, South, <=50K
34, Self-emp-not-inc, Some-college, Divorced, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
29, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
41, Private, Masters, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,48, Jamaica, <=50K
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
34, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,45, India, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,68, Taiwan, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Nicaragua, >50K
27, Private, 9th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, South, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,68, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,56, Jamaica, >50K
36, Private, Doctorate, Married-civ-spouse, Craft-repair, Wife, White, Female,7687,0,20, El-Salvador, >50K
28, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1977,50, Jamaica, >50K
31, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,45, Japan, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, South, <=50K
49, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,7298,0,40, Honduras, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, France, <=50K
30, Local-gov, 7th-8th, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,60, Jamaica, <=50K
28, Private, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, Poland, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Taiwan, <=50K
75, Private, Some-college, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,17, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,5676,0,70, South, >50K
35, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,35, Jamaica, <=50K
40, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, India, <=50K
34, Private, Prof-school, Married-civ-spouse, Sales, Wife, Other, Male,99999,0,40, United-States, >50K
37, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
36, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Canada, <=50K
20, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,25, India, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
36, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Honduras, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,56, Cuba, <=50K
47, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, Hong, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, <=50K
51, Private, Bachelors, Widowed, Craft-repair, Unmarried, Other, Male,0,0,56, Puerto-Rico, <=50K
26, Private, Preschool, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,7298,0,40, Jamaica, >50K
36, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,40, Hungary, >50K
