Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.9,0.44
moral,0.79,0.76,0.44,0.06
verw,0.9,0.82,0.54,0.02
sparkont,0.91,0.9,0.66,0.25
beszeit,0.95,0.93,0.78,0.18
rate,0.89,0.9,0.68,0.26
famges,0.92,0.91,0.73,0.29
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.94,0.93,0.78,0.31
verm,1.0,1.0,0.98,0.75
weitkred,0.49,0.54,0.24,0.05
wohn,0.89,0.9,0.73,0.33
bishkred,0.65,0.58,0.32,0.03
beruf,0.75,0.71,0.43,0.02
pers,0.66,0.74,0.49,0.26
telef,0.95,0.96,0.9,0.62
gastarb,0.71,0.78,0.55,0.3
kredit,0.86,0.89,0.75,0.45
