laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
4 48 2 9 3944 5 3 4 3 1 2 1 38 3 2 1 3 2 1 2 0
2 15 0 0 1776 2 2 2 2 1 1 1 26 3 2 2 2 2 1 2 0
2 30 2 2 3511 2 4 2 2 1 4 3 21 3 1 1 3 2 1 2 0
4 36 1 2 4796 3 3 3 3 1 1 4 32 3 3 1 3 2 2 2 1
4 24 4 2 2041 1 4 4 3 1 3 2 30 3 2 2 3 2 1 1 1
1 36 3 0 2301 1 4 3 3 1 2 3 24 3 2 2 4 1 2 2 0
2 24 2 2 3985 1 4 3 3 1 1 2 43 3 3 1 3 2 2 2 0
4 12 2 3 914 5 2 4 2 1 1 3 21 3 1 1 3 2 1 2 0
2 6 4 2 689 1 4 4 2 1 1 3 29 1 2 1 2 2 1 2 1
2 12 2 0 6565 5 1 3 3 1 1 4 52 3 3 1 4 2 2 2 0
4 24 2 2 2676 4 3 2 2 1 4 2 28 3 2 1 3 2 2 2 1
2 6 4 9 938 5 4 2 2 3 3 2 39 2 2 2 2 2 1 2 1
2 21 0 2 3441 1 2 2 3 1 1 2 26 1 2 2 3 2 1 2 0
4 9 4 2 1444 1 3 3 4 1 2 3 27 3 2 2 3 2 1 2 1
3 10 4 0 782 1 5 3 3 1 4 4 63 3 3 3 1 2 2 1 1
1 6 2 0 1460 5 1 4 2 1 3 2 74 1 2 1 4 2 2 2 1
4 18 4 0 6465 1 5 4 3 1 4 4 40 1 2 2 4 1 2 2 0
1 12 3 3 6211 1 3 4 3 1 2 4 28 3 1 2 4 2 2 2 0
4 15 3 0 1275 2 5 3 3 1 4 4 39 3 3 2 3 2 2 2 0
2 6 2 3 1046 1 5 3 3 1 4 3 28 1 2 1 3 1 1 2 1
2 15 4 2 1014 1 3 2 3 1 3 3 30 3 2 2 3 2 1 2 1
4 48 4 3 7652 5 5 4 3 1 2 2 46 1 2 2 3 1 1 2 1
1 24 2 1 2862 5 3 3 2 1 4 3 26 3 1 1 3 2 1 2 1
4 24 2 3 1415 1 3 3 4 1 2 1 28 3 2 1 3 2 1 2 1
4 24 4 3 1876 1 4 4 3 1 2 3 33 3 2 2 3 2 2 2 1
1 24 3 0 1472 5 2 4 3 1 4 3 23 3 1 2 3 2 1 2 0
1 18 2 9 1906 1 2 4 2 1 4 3 25 3 1 2 3 2 1 2 0
2 12 1 2 1443 1 4 4 3 1 3 2 26 3 2 4 3 2 2 2 1
2 12 2 0 815 1 2 4 4 2 4 1 23 3 1 1 2 2 1 2 1
1 12 4 1 1485 1 5 4 3 1 4 4 66 3 3 1 1 1 2 2 1
2 24 2 0 2689 1 3 2 2 1 4 1 20 3 1 1 3 1 2 2 0
1 24 2 3 1830 1 3 4 2 1 4 1 29 3 1 1 3 2 2 2 0
4 18 2 3 4709 1 5 2 3 1 3 3 32 3 1 1 3 2 2 2 1
4 18 4 0 13246 5 5 1 3 1 4 4 30 3 3 1 4 2 2 2 0
1 12 4 0 4965 1 5 3 3 1 3 4 42 3 1 2 4 1 2 2 0
4 21 4 1 3441 1 5 4 3 1 4 4 36 3 3 3 4 2 2 2 1
4 24 1 3 2519 2 5 4 3 1 2 3 35 1 2 2 3 2 2 2 0
2 6 2 3 573 1 4 3 4 3 2 1 28 3 2 1 3 2 1 1 0
4 9 4 2 2462 1 4 2 3 1 4 2 31 3 2 1 3 2 1 1 1
2 12 2 2 2922 1 2 1 4 1 3 3 27 3 2 1 3 2 1 2 1
3 12 2 2 700 4 2 2 4 1 1 2 25 3 2 1 2 1 1 2 0
1 21 2 1 1870 1 3 3 4 1 2 1 25 3 2 2 4 2 2 2 0
1 12 1 0 1258 1 3 4 2 1 2 1 24 3 1 1 2 2 1 2 0
1 9 3 5 5134 1 5 2 3 1 4 4 74 1 3 3 4 1 2 2 0
4 6 2 0 3017 3 3 2 3 1 2 3 32 3 2 1 4 2 2 2 1
2 10 4 0 1240 1 5 2 3 1 4 1 32 3 2 2 2 1 1 2 1
1 9 2 3 1424 1 2 1 2 1 4 3 22 3 1 1 3 2 1 2 1
2 12 3 0 2406 1 5 3 1 3 3 1 36 3 1 1 3 2 2 2 1
1 6 4 0 4535 5 2 1 1 1 3 1 44 3 2 2 2 1 1 2 1
1 18 2 3 3416 1 4 4 2 3 3 2 25 3 2 1 3 2 1 2 1
1 6 1 0 14975 1 5 1 3 1 4 4 67 1 2 1 4 2 2 2 0
2 18 2 3 3160 1 2 1 4 1 1 1 25 3 2 1 3 2 1 2 1
4 12 4 3 3192 1 3 2 3 1 4 4 51 3 2 1 3 2 2 2 1
4 12 4 3 726 1 5 4 3 1 4 1 52 3 2 2 3 1 2 2 1
3 18 2 3 2133 1 3 4 4 1 2 1 37 3 2 1 3 2 1 1 0
4 60 3 1 15478 1 4 2 3 1 4 4 21 3 2 1 3 2 2 2 1
1 6 4 0 672 3 1 1 2 1 4 1 54 3 3 1 3 2 2 2 1
1 9 2 3 1344 1 5 3 3 3 4 2 58 3 2 1 3 2 1 2 1
2 24 2 2 3040 3 5 4 3 1 1 4 32 3 1 1 4 2 2 2 1
4 60 2 9 7476 2 3 2 2 1 2 3 24 2 2 1 3 2 1 2 0
1 12 1 2 904 1 4 4 2 1 3 2 21 3 1 2 3 2 1 2 1
2 18 2 9 2631 2 3 4 3 1 4 4 34 3 2 1 3 2 1 2 1
3 18 3 9 2624 1 4 2 3 1 3 2 29 3 2 2 3 2 2 2 1
