Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.9,0.42
moral,0.8,0.77,0.45,0.08
verw,0.9,0.81,0.51,0.02
sparkont,0.96,0.96,0.83,0.39
beszeit,0.95,0.94,0.8,0.24
rate,0.89,0.89,0.68,0.27
famges,0.92,0.92,0.74,0.32
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.92,0.92,0.75,0.31
verm,0.99,0.99,0.95,0.56
weitkred,0.53,0.59,0.27,0.08
wohn,0.74,0.77,0.49,0.18
bishkred,0.67,0.6,0.33,0.03
beruf,0.74,0.73,0.42,0.05
pers,0.59,0.68,0.42,0.22
telef,0.98,0.99,0.96,0.75
gastarb,0.29,0.4,0.17,0.09
kredit,0.85,0.89,0.74,0.44
