Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.93,0.8,0.24
moral,0.8,0.77,0.45,0.07
verw,0.91,0.83,0.55,0.05
sparkont,0.77,0.76,0.4,0.11
beszeit,0.95,0.94,0.8,0.24
rate,0.9,0.9,0.7,0.26
famges,0.83,0.81,0.55,0.12
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.95,0.95,0.84,0.38
verm,0.99,0.99,0.96,0.59
weitkred,0.52,0.58,0.27,0.08
wohn,0.74,0.77,0.49,0.17
bishkred,0.67,0.6,0.34,0.03
beruf,0.7,0.68,0.37,0.02
pers,0.68,0.76,0.52,0.28
telef,0.96,0.97,0.93,0.67
gastarb,0.21,0.31,0.12,0.06
kredit,0.89,0.92,0.8,0.5
