Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.91,0.75,0.2
moral,0.78,0.73,0.41,0.07
verw,0.89,0.78,0.46,0.02
sparkont,0.77,0.76,0.4,0.08
beszeit,0.95,0.94,0.81,0.22
rate,0.91,0.92,0.72,0.34
famges,0.78,0.76,0.47,0.1
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.31
verm,0.98,0.98,0.93,0.55
weitkred,0.46,0.5,0.22,0.03
wohn,0.76,0.79,0.52,0.19
bishkred,0.67,0.59,0.33,0.01
beruf,0.69,0.67,0.36,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.26,0.37,0.15,0.08
kredit,0.83,0.87,0.71,0.41
