Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.28
moral,0.8,0.76,0.44,0.05
verw,0.88,0.78,0.46,0.01
sparkont,0.78,0.78,0.41,0.11
beszeit,0.95,0.93,0.78,0.21
rate,0.89,0.89,0.67,0.25
famges,0.82,0.8,0.52,0.12
buerge,0.3,0.38,0.13,0.05
wohnzeit,0.94,0.93,0.78,0.34
verm,0.98,0.98,0.92,0.48
weitkred,0.52,0.57,0.27,0.05
wohn,0.73,0.77,0.47,0.18
bishkred,0.65,0.57,0.31,0.03
beruf,0.72,0.69,0.39,0.02
pers,0.56,0.66,0.39,0.2
telef,0.97,0.98,0.95,0.71
gastarb,0.34,0.45,0.21,0.1
kredit,0.86,0.9,0.75,0.45
