Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.86,0.34
moral,0.79,0.75,0.43,0.08
verw,0.9,0.81,0.54,0.02
sparkont,0.91,0.91,0.67,0.26
beszeit,0.94,0.9,0.76,0.08
rate,0.94,0.94,0.79,0.38
famges,0.91,0.9,0.72,0.27
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.93,0.92,0.76,0.31
verm,1.0,1.0,0.99,0.82
weitkred,0.5,0.55,0.25,0.05
wohn,0.89,0.9,0.73,0.35
bishkred,0.67,0.61,0.34,0.03
beruf,0.68,0.67,0.35,0.02
pers,0.59,0.68,0.42,0.22
telef,0.98,0.98,0.95,0.73
gastarb,0.71,0.78,0.55,0.3
kredit,0.9,0.92,0.81,0.51
