39, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Hungary, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,52, Honduras, >50K
21, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
50, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Honduras, >50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Guatemala, >50K
68, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Male,2107,0,12, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Guatemala, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,54, China, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,20051,0,68, France, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,52, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Ecuador, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, Vietnam, <=50K
49, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,6, United-States, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Yugoslavia, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,20, Guatemala, >50K
45, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Dominican-Republic, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, <=50K
61, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Greece, >50K
20, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,40, China, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, China, <=50K
50, State-gov, Some-college, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,38, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,43, Mexico, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Mexico, <=50K
