Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.78,0.73,0.41,0.07
verw,0.9,0.79,0.46,0.01
sparkont,1.0,1.0,1.0,0.86
beszeit,0.95,0.93,0.78,0.21
rate,0.93,0.94,0.78,0.38
famges,1.0,0.99,0.98,0.71
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.93,0.93,0.78,0.31
verm,1.0,1.0,0.99,0.82
weitkred,0.44,0.5,0.21,0.04
wohn,1.0,1.0,1.0,0.91
bishkred,0.65,0.58,0.32,0.01
beruf,0.73,0.7,0.4,0.02
pers,0.55,0.64,0.38,0.2
telef,0.97,0.98,0.94,0.71
gastarb,0.99,0.99,0.98,0.8
kredit,0.8,0.85,0.67,0.39
