Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.17
moral,0.79,0.75,0.43,0.05
verw,0.91,0.82,0.56,0.02
sparkont,0.75,0.74,0.37,0.07
beszeit,0.95,0.93,0.79,0.18
rate,0.9,0.9,0.7,0.29
famges,0.81,0.78,0.51,0.1
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.91,0.9,0.72,0.21
verm,0.98,0.98,0.92,0.47
weitkred,0.51,0.55,0.26,0.05
wohn,0.71,0.75,0.45,0.16
bishkred,0.68,0.61,0.34,0.03
beruf,0.75,0.72,0.43,0.02
pers,0.56,0.66,0.39,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.23,0.34,0.13,0.07
kredit,0.83,0.88,0.71,0.42
