27, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,45, Germany, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, India, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Hong, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,25, Hong, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Honduras, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Black, Male,0,0,50, Yugoslavia, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Greece, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,4925,0,50, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,7687,0,70, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, China, >50K
28, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Greece, <=50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,50, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,7239,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Ecuador, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,1611,45, Vietnam, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Separated, Exec-managerial, Not-in-family, Other, Male,5013,0,60, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,45, Haiti, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,44, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,40, Dominican-Republic, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,4024,0,40, Hong, <=50K
49, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Greece, <=50K
39, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,50, Laos, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, China, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Hong, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,1876,40, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
30, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,45, Haiti, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,10, Guatemala, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Doctorate, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, >50K
40, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,25500,0,40, United-States, >50K
24, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,7687,0,45, India, >50K
67, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,33, Puerto-Rico, <=50K
29, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,3438,0,45, United-States, >50K
22, Private, Bachelors, Separated, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,3266,0,40, Poland, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1902,50, Yugoslavia, >50K
18, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, France, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Guatemala, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, Thailand, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
57, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,35, France, <=50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Female,0,0,42, United-States, >50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, <=50K
39, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
45, Private, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, Haiti, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
53, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,32, Yugoslavia, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1898,40, United-States, >50K
31, Private, Prof-school, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,30, Poland, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,15024,0,40, United-States, >50K
34, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Italy, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Japan, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,50, Honduras, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
44, Private, Some-college, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
44, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,50, Japan, >50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Columbia, <=50K
49, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,50, Greece, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Poland, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, Dominican-Republic, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,48, Scotland, <=50K
43, Private, Prof-school, Divorced, Exec-managerial, Own-child, Black, Male,0,0,45, United-States, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Mexico, >50K
32, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,48, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hungary, <=50K
35, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Italy, >50K
47, Federal-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,2203,40, Dominican-Republic, <=50K
39, Local-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
35, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, Iran, <=50K
40, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
60, Self-emp-not-inc, Doctorate, Widowed, Exec-managerial, Not-in-family, White, Male,0,2407,60, United-States, >50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
39, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,44, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Divorced, Farming-fishing, Husband, Other, Male,0,0,60, Hong, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Japan, <=50K
60, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,15024,0,20, United-States, >50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Masters, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,1740,54, United-States, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,9, United-States, <=50K
59, State-gov, HS-grad, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
64, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Not-in-family, Other, Female,0,0,45, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,42, United-States, <=50K
42, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, India, >50K
42, State-gov, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Puerto-Rico, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
70, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,16, United-States, >50K
25, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Thailand, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,48, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, El-Salvador, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,34, United-States, >50K
50, Federal-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Scotland, <=50K
47, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, England, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
19, State-gov, Bachelors, Married-spouse-absent, Handlers-cleaners, Own-child, White, Male,0,0,12, Poland, <=50K
33, Private, Some-college, Divorced, Farming-fishing, Own-child, White, Female,0,0,36, Philippines, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Germany, >50K
59, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Female,15024,0,38, Puerto-Rico, >50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,92, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,2721,0,45, United-States, <=50K
26, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,1987,0,50, United-States, <=50K
17, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Sales, Other-relative, Other, Male,0,0,80, United-States, >50K
34, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Germany, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,30, Portugal, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
24, Private, 11th, Never-married, Sales, Unmarried, White, Male,0,0,25, United-States, <=50K
49, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,2255,40, United-States, >50K
44, Private, Some-college, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Haiti, >50K
21, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
49, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,34, Hong, <=50K
38, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,3473,0,50, United-States, <=50K
47, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
33, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1923,50, Honduras, >50K
68, Private, Some-college, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,15024,0,50, United-States, >50K
36, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Local-gov, 9th, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Protective-serv, Not-in-family, Other, Male,0,0,35, Puerto-Rico, <=50K
32, Private, Masters, Never-married, Tech-support, Wife, White, Male,0,0,35, United-States, <=50K
45, State-gov, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, Yugoslavia, <=50K
51, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, China, <=50K
27, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Poland, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, El-Salvador, <=50K
47, Private, Some-college, Separated, Craft-repair, Unmarried, White, Female,0,0,35, Peru, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Vietnam, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,60, Portugal, >50K
74, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,2174,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Cambodia, <=50K
27, Private, HS-grad, Never-married, Sales, Husband, White, Male,10198,0,50, United-States, >50K
