Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.96,0.87,0.35
moral,0.81,0.77,0.45,0.08
verw,0.89,0.76,0.45,0.0
sparkont,0.81,0.8,0.45,0.13
beszeit,0.93,0.87,0.71,0.04
rate,0.93,0.93,0.78,0.35
famges,0.8,0.78,0.5,0.11
buerge,0.35,0.43,0.15,0.07
wohnzeit,0.93,0.92,0.76,0.29
verm,0.99,0.98,0.94,0.56
weitkred,0.5,0.56,0.25,0.06
wohn,0.74,0.77,0.49,0.17
bishkred,0.67,0.62,0.34,0.03
beruf,0.68,0.67,0.35,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.95,0.71
gastarb,0.23,0.34,0.13,0.07
kredit,0.9,0.92,0.81,0.51
