value,frequency,column
Male,0.8111831442463533,sex
Female,0.18881685575364668,sex
25 - 45,0.5674635332252836,age_cat
Less than 25,0.2200162074554295,age_cat
Greater than 45,0.21252025931928686,age_cat
African-American,0.5182333873581848,race
Caucasian,0.3340761750405186,race
Hispanic,0.08427876823338736,race
Other,0.05571312803889789,race
Asian,0.005672609400324149,race
Native American,0.002025931928687196,race
F,0.6436385737439222,c_charge_degree
M,0.3563614262560778,c_charge_degree
0,0.5168152350081038,is_recid
1,0.4831847649918963,is_recid
Low,0.5567260940032415,score_text
Medium,0.25992706645056723,score_text
High,0.18334683954619124,score_text
0,0.5451782820097245,two_year_recid
1,0.45482171799027554,two_year_recid
