56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, Jamaica, >50K
18, Private, 12th, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, France, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, England, >50K
31, Private, Bachelors, Never-married, Tech-support, Not-in-family, Other, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, England, >50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, El-Salvador, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,4945,0,40, Yugoslavia, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Ecuador, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Japan, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Philippines, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, Canada, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,45, Scotland, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,32, Columbia, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,50, Yugoslavia, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
48, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, El-Salvador, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Mexico, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, England, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Male,0,0,8, Ecuador, <=50K
47, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,60, Greece, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Own-child, Black, Female,0,0,35, Canada, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,20, Canada, <=50K
64, State-gov, Some-college, Widowed, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Other, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,12, England, <=50K
36, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, Haiti, <=50K
62, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,32, Honduras, <=50K
18, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,20, El-Salvador, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Philippines, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, Other, Male,0,0,40, Nicaragua, >50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,44, Germany, >50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Scotland, >50K
49, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, France, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, India, >50K
47, Local-gov, Bachelors, Married-spouse-absent, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, Philippines, >50K
38, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Wife, Other, Male,0,0,40, Mexico, >50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7687,0,40, Hungary, >50K
49, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,15, Yugoslavia, <=50K
20, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,30, Dominican-Republic, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, Ecuador, <=50K
55, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Other-relative, Black, Female,0,0,32, Ireland, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Poland, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
