44, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,1902,60, Dominican-Republic, >50K
39, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,48, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
55, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
18, Private, 12th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
32, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
27, Private, 5th-6th, Never-married, Other-service, Husband, White, Female,0,1902,40, Scotland, <=50K
24, Private, HS-grad, Married-spouse-absent, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,65, Nicaragua, >50K
64, Private, Some-college, Never-married, Other-service, Husband, Other, Female,0,0,20, Cambodia, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Poland, >50K
39, Private, Doctorate, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,44, Columbia, >50K
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,1900,25, Yugoslavia, >50K
29, Private, 7th-8th, Married-spouse-absent, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,17, Jamaica, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,7687,0,54, Yugoslavia, >50K
28, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,4778,0,50, Ecuador, >50K
33, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,1902,40, Jamaica, >50K
43, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Husband, White, Female,0,0,63, Trinadad&Tobago, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,37, China, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,35, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,45, Germany, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1902,40, Yugoslavia, <=50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,48, Thailand, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Guatemala, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
69, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,2523,0,82, Ecuador, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,45, Nicaragua, >50K
63, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Male,0,0,70, Japan, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,7687,0,50, Japan, >50K
27, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,38, Laos, <=50K
63, Private, 7th-8th, Divorced, Other-service, Not-in-family, Black, Male,0,0,35, Poland, >50K
29, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, England, <=50K
27, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,10, Hong, <=50K
51, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,4873,0,48, Mexico, >50K
20, Private, Assoc-voc, Separated, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,25, Yugoslavia, <=50K
42, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
29, Private, 10th, Never-married, Tech-support, Other-relative, Other, Female,0,0,40, Jamaica, <=50K
19, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,64, South, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, Thailand, <=50K
47, Private, 11th, Married-civ-spouse, Adm-clerical, Other-relative, Other, Female,0,0,40, Ecuador, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Taiwan, >50K
34, Private, Masters, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
