Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.79,0.74,0.42,0.08
verw,0.9,0.79,0.5,0.01
sparkont,1.0,1.0,0.99,0.85
beszeit,0.95,0.94,0.8,0.22
rate,0.91,0.91,0.72,0.34
famges,1.0,1.0,0.99,0.75
buerge,0.26,0.34,0.11,0.04
wohnzeit,0.92,0.92,0.75,0.29
verm,1.0,1.0,0.99,0.85
weitkred,0.43,0.45,0.2,0.01
wohn,1.0,1.0,0.99,0.86
bishkred,0.67,0.58,0.34,0.01
beruf,0.7,0.68,0.37,0.02
pers,0.54,0.64,0.37,0.19
telef,0.98,0.98,0.96,0.74
gastarb,1.0,1.0,0.99,0.9
kredit,0.82,0.87,0.7,0.41
