Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.72
moral,0.78,0.73,0.41,0.07
verw,0.89,0.79,0.46,0.01
sparkont,0.99,0.98,0.94,0.57
beszeit,0.95,0.93,0.79,0.2
rate,0.93,0.94,0.78,0.38
famges,0.98,0.98,0.93,0.55
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.94,0.8,0.34
verm,1.0,1.0,1.0,0.87
weitkred,0.46,0.52,0.22,0.06
wohn,0.98,0.99,0.96,0.65
bishkred,0.65,0.58,0.32,0.02
beruf,0.72,0.7,0.39,0.02
pers,0.54,0.64,0.37,0.19
telef,0.96,0.97,0.93,0.68
gastarb,0.97,0.98,0.94,0.69
kredit,0.81,0.86,0.68,0.39
