25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Japan, >50K
19, Private, 5th-6th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Germany, <=50K
45, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,83, England, >50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
28, Private, 5th-6th, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, England, <=50K
64, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, El-Salvador, <=50K
41, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
75, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
62, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,30, United-States, <=50K
25, Private, 5th-6th, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
18, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,24, Poland, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, Canada, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Husband, Other, Female,0,0,40, Taiwan, <=50K
63, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,38, Vietnam, <=50K
42, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,4590,0,40, Columbia, >50K
