Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.93,0.51
moral,0.82,0.78,0.47,0.09
verw,0.9,0.79,0.49,0.02
sparkont,0.96,0.95,0.81,0.39
beszeit,0.95,0.94,0.81,0.21
rate,0.91,0.91,0.7,0.28
famges,0.95,0.95,0.83,0.41
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.94,0.94,0.8,0.34
verm,1.0,1.0,0.99,0.82
weitkred,0.54,0.59,0.28,0.07
wohn,0.95,0.95,0.86,0.47
bishkred,0.68,0.61,0.35,0.03
beruf,0.72,0.69,0.39,0.02
pers,0.57,0.66,0.4,0.21
telef,0.97,0.98,0.95,0.72
gastarb,0.85,0.89,0.74,0.44
kredit,0.88,0.91,0.78,0.48
