Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.81,0.22
moral,0.81,0.77,0.46,0.09
verw,0.91,0.81,0.52,0.01
sparkont,0.73,0.72,0.35,0.07
beszeit,0.95,0.93,0.78,0.18
rate,0.91,0.91,0.72,0.3
famges,0.77,0.74,0.46,0.08
buerge,0.32,0.4,0.14,0.06
wohnzeit,0.92,0.91,0.74,0.32
verm,0.98,0.97,0.91,0.46
weitkred,0.54,0.59,0.28,0.07
wohn,0.69,0.74,0.43,0.17
bishkred,0.68,0.61,0.35,0.02
beruf,0.74,0.74,0.41,0.06
pers,0.65,0.73,0.48,0.25
telef,0.98,0.99,0.97,0.77
gastarb,0.24,0.35,0.14,0.07
kredit,0.86,0.89,0.75,0.45
