Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.98,0.94,0.54
moral,0.79,0.76,0.43,0.1
verw,0.89,0.78,0.48,0.01
sparkont,0.97,0.97,0.87,0.41
beszeit,0.96,0.94,0.81,0.25
rate,0.9,0.9,0.7,0.29
famges,0.88,0.88,0.66,0.22
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.3
verm,1.0,0.99,0.98,0.74
weitkred,0.49,0.54,0.24,0.05
wohn,0.75,0.79,0.51,0.2
bishkred,0.67,0.6,0.33,0.03
beruf,0.72,0.7,0.4,0.03
pers,0.59,0.68,0.42,0.22
telef,0.98,0.98,0.95,0.73
gastarb,0.26,0.37,0.15,0.08
kredit,0.89,0.92,0.8,0.5
