29, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
20, Local-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,44, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,7687,0,35, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, Germany, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, <=50K
58, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,94, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,38, Peru, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,5178,0,40, United-States, <=50K
24, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, United-States, <=50K
69, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,2298,0,40, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, United-States, >50K
32, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
44, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,50, Greece, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,54, Greece, >50K
21, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
43, Local-gov, Some-college, Married-spouse-absent, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
40, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,10, United-States, <=50K
22, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,30, United-States, <=50K
35, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Local-gov, Assoc-acdm, Divorced, Priv-house-serv, Unmarried, Black, Male,0,0,50, United-States, <=50K
31, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,75, United-States, >50K
64, Federal-gov, HS-grad, Widowed, Prof-specialty, Husband, White, Male,0,0,5, United-States, <=50K
35, Private, Bachelors, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
30, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,1733,40, United-States, <=50K
23, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
46, Private, Some-college, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0,0,8, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,60, United-States, <=50K
38, Private, 7th-8th, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,35, Italy, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, >50K
56, Private, Masters, Separated, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,65, United-States, >50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,38, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
41, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
45, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, Italy, <=50K
48, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Mexico, <=50K
59, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,19, United-States, <=50K
41, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
66, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1887,45, United-States, >50K
30, Local-gov, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
32, Local-gov, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,2862,0,65, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,6498,0,50, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
33, Private, Some-college, Divorced, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
51, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, >50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
38, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,37, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
34, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
41, Private, HS-grad, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, United-States, <=50K
