laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
3 24 4 3 2406 4 5 4 3 1 2 3 51 3 2 1 3 2 2 2 1
3 13 2 2 2135 5 4 3 2 1 2 1 33 3 3 1 3 1 1 2 1
4 9 4 0 3006 3 5 2 1 2 4 3 31 3 1 2 3 1 2 2 1
2 24 1 9 2329 5 3 4 2 1 2 1 32 3 3 1 3 2 1 1 1
2 15 3 8 1651 1 5 4 4 1 4 3 36 3 1 2 3 2 1 1 1
2 48 2 1 9933 2 3 2 4 1 2 2 26 3 2 1 4 2 2 1 0
2 12 1 3 1919 4 5 3 3 1 1 1 46 3 3 1 3 2 2 2 1
3 9 4 0 1137 5 2 4 1 1 1 2 25 3 1 1 3 2 2 2 0
2 24 4 0 1557 2 5 4 2 1 2 3 24 1 1 1 3 2 1 2 1
2 18 4 1 7761 3 2 3 4 1 4 4 52 2 3 1 3 2 2 1 1
1 48 2 9 7408 4 3 3 2 1 4 1 31 3 3 1 4 2 2 2 1
3 24 4 9 2360 2 5 4 2 2 2 3 34 1 1 2 3 2 1 2 1
4 6 2 2 1222 3 4 2 2 1 3 2 43 3 3 2 2 2 2 1 1
2 12 4 0 1141 4 3 4 4 1 4 4 40 3 1 2 2 2 2 2 1
2 18 4 3 4183 3 5 2 1 1 4 2 35 3 1 2 3 2 2 1 1
3 36 4 1 6510 2 2 4 4 1 2 4 36 1 1 1 3 2 2 1 1
3 24 2 0 2404 5 2 4 2 1 2 1 35 3 1 1 3 2 1 2 1
4 39 3 3 6224 3 4 4 1 1 1 4 27 3 2 2 4 2 2 2 0
4 27 2 3 4159 3 3 2 1 1 4 2 36 3 3 2 3 2 1 2 0
3 18 4 3 1965 3 3 2 3 1 4 2 23 1 2 1 3 2 1 1 0
1 24 4 3 3176 1 1 4 2 1 2 4 36 3 2 1 4 2 2 2 0
4 18 4 1 5189 3 3 3 3 1 3 2 26 3 1 2 3 2 1 1 1
1 12 1 3 1453 2 3 3 4 1 4 4 42 3 2 2 3 2 1 1 0
2 24 2 1 4854 3 5 1 3 1 1 2 35 1 1 1 3 2 1 1 0
3 9 2 3 1113 1 1 4 1 1 2 4 37 3 2 3 2 2 1 2 1
2 12 4 1 2288 5 3 3 4 1 4 3 20 3 1 1 3 2 1 1 1
1 10 4 9 1275 1 2 4 1 1 4 3 43 3 2 1 2 2 2 2 1
2 18 2 2 1199 1 5 3 4 1 2 2 23 3 3 2 3 2 1 1 1
3 12 2 0 1743 1 3 4 4 3 2 3 62 3 2 1 2 2 1 2 1
1 36 4 2 8067 5 4 3 3 1 3 2 26 1 2 1 3 1 2 1 1
4 24 4 1 1211 3 5 4 3 1 4 1 57 3 2 1 3 1 2 2 0
1 21 3 2 1310 5 4 4 2 1 4 1 25 3 1 1 3 2 1 1 0
2 6 4 2 1644 2 4 1 2 1 4 3 33 3 1 1 3 2 2 2 1
4 24 4 2 3577 4 5 2 4 1 4 4 38 3 2 2 2 2 1 2 1
