38, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
33, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,44, Iran, >50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, England, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Tech-support, Husband, Other, Male,0,0,32, Trinadad&Tobago, <=50K
49, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,60, Ecuador, <=50K
70, Self-emp-inc, Assoc-voc, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,10, Yugoslavia, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
21, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,25, Scotland, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
30, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Female,0,0,50, Canada, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,20051,0,60, Cuba, >50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
38, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,50, Vietnam, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Columbia, >50K
65, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,0,24, Yugoslavia, <=50K
46, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,6, Jamaica, <=50K
19, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
43, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,60, Italy, >50K
40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, China, <=50K
