Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.8,0.75,0.44,0.04
verw,0.91,0.84,0.57,0.03
sparkont,1.0,1.0,0.99,0.81
beszeit,0.95,0.93,0.78,0.18
rate,0.92,0.92,0.73,0.32
famges,1.0,1.0,0.99,0.74
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.94,0.93,0.79,0.33
verm,1.0,1.0,0.99,0.81
weitkred,0.48,0.53,0.23,0.05
wohn,1.0,1.0,1.0,0.88
bishkred,0.66,0.59,0.32,0.02
beruf,0.76,0.72,0.44,0.02
pers,0.63,0.71,0.46,0.24
telef,0.95,0.96,0.91,0.64
gastarb,1.0,1.0,0.99,0.89
kredit,0.86,0.9,0.76,0.46
