Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.93,0.82,0.26
moral,0.82,0.79,0.48,0.1
verw,0.89,0.75,0.44,0.0
sparkont,0.74,0.73,0.36,0.08
beszeit,0.94,0.92,0.75,0.18
rate,0.9,0.9,0.7,0.27
famges,0.79,0.77,0.49,0.1
buerge,0.3,0.38,0.12,0.06
wohnzeit,0.95,0.94,0.81,0.37
verm,0.98,0.98,0.92,0.48
weitkred,0.5,0.55,0.25,0.06
wohn,0.74,0.78,0.49,0.19
bishkred,0.66,0.59,0.33,0.03
beruf,0.73,0.72,0.41,0.04
pers,0.59,0.68,0.42,0.22
telef,0.95,0.97,0.91,0.64
gastarb,0.24,0.34,0.14,0.07
kredit,0.84,0.88,0.73,0.43
