25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,36, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
19, Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,82, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 1st-4th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
71, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States, <=50K
24, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,25, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, Germany, <=50K
55, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4152,0,40, South, >50K
21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
41, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, >50K
49, Private, Bachelors, Widowed, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,1886,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Peru, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
21, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,60, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, United-States, <=50K
39, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,60, Guatemala, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Honduras, >50K
40, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,20, United-States, <=50K
27, Private, Some-college, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,8075,0,35, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,97, United-States, >50K
64, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,20, United-States, <=50K
67, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,45, United-States, >50K
39, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
19, Local-gov, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Separated, Other-service, Husband, Black, Male,0,0,37, United-States, <=50K
36, Private, Assoc-voc, Widowed, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
