25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,11192,0,50, United-States, >50K
21, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, 1st-4th, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
54, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,14821,0,50, United-States, >50K
21, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,45, United-States, <=50K
53, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
51, Local-gov, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,38, United-States, <=50K
33, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,45, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, Germany, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
66, Private, Doctorate, Divorced, Tech-support, Not-in-family, White, Female,0,1974,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Portugal, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
33, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,33, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3736,0,45, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female,0,0,35, United-States, <=50K
18, Private, Assoc-acdm, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,50, Germany, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,42, Honduras, >50K
28, State-gov, Some-college, Never-married, Other-service, Wife, White, Female,0,0,4, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,50, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
19, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
