Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.88,0.72,0.12
moral,0.81,0.77,0.46,0.09
verw,0.88,0.75,0.44,0.01
sparkont,0.74,0.73,0.36,0.08
beszeit,0.93,0.91,0.74,0.13
rate,0.91,0.91,0.73,0.3
famges,0.82,0.79,0.53,0.11
buerge,0.3,0.38,0.13,0.06
wohnzeit,0.94,0.93,0.79,0.29
verm,0.98,0.98,0.92,0.49
weitkred,0.52,0.58,0.26,0.07
wohn,0.71,0.76,0.45,0.18
bishkred,0.68,0.62,0.35,0.02
beruf,0.72,0.68,0.39,0.01
pers,0.56,0.65,0.39,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.17,0.26,0.09,0.05
kredit,0.86,0.89,0.75,0.45
