Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.85,0.31
moral,0.81,0.79,0.46,0.1
verw,0.9,0.79,0.49,0.01
sparkont,0.77,0.77,0.4,0.09
beszeit,0.96,0.95,0.82,0.23
rate,0.92,0.92,0.74,0.33
famges,0.83,0.81,0.54,0.15
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.94,0.93,0.79,0.35
verm,0.98,0.98,0.92,0.48
weitkred,0.49,0.55,0.24,0.07
wohn,0.69,0.73,0.42,0.15
bishkred,0.67,0.6,0.34,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.66,0.74,0.49,0.26
telef,0.96,0.97,0.92,0.67
gastarb,0.28,0.38,0.16,0.08
kredit,0.86,0.9,0.76,0.46
