47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
66, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
23, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,10535,0,54, United-States, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, India, >50K
56, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, <=50K
45, Private, Assoc-voc, Never-married, Other-service, Husband, White, Male,0,0,3, United-States, <=50K
31, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
64, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,13750,0,50, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,45, Guatemala, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, >50K
55, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Prof-school, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,98, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,30, United-States, >50K
31, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
40, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, <=50K
45, Private, Assoc-acdm, Divorced, Other-service, Unmarried, White, Male,0,0,36, United-States, <=50K
38, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Local-gov, Doctorate, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
44, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
60, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, United-States, >50K
48, Self-emp-inc, Preschool, Divorced, Adm-clerical, Not-in-family, White, Female,6792,0,45, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1619,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
44, Private, 5th-6th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Yugoslavia, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
41, Private, Some-college, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
40, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,48, United-States, <=50K
39, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,45, United-States, <=50K
34, Private, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Craft-repair, Unmarried, White, Female,0,0,15, United-States, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Laos, <=50K
43, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, >50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, Other, Female,0,0,35, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
