47, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,2009,50, United-States, >50K
23, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
68, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
39, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, United-States, <=50K
29, Self-emp-inc, Bachelors, Never-married, Sales, Husband, White, Female,0,0,40, United-States, >50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, France, <=50K
29, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,1977,50, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
33, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Portugal, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
44, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
44, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
48, Self-emp-inc, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
75, Private, 9th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,8, United-States, <=50K
57, Private, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,45, Germany, <=50K
73, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,36, Guatemala, >50K
37, State-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,25, United-States, <=50K
65, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,38436,0,60, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,35, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
