Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,1.0,0.86
moral,0.79,0.76,0.43,0.09
verw,0.89,0.77,0.47,0.01
sparkont,1.0,1.0,0.99,0.81
beszeit,0.95,0.94,0.79,0.21
rate,0.9,0.9,0.69,0.24
famges,1.0,1.0,0.99,0.78
buerge,0.34,0.42,0.15,0.05
wohnzeit,0.93,0.92,0.76,0.26
verm,1.0,1.0,0.99,0.81
weitkred,0.48,0.55,0.24,0.08
wohn,1.0,1.0,1.0,0.88
bishkred,0.66,0.6,0.33,0.03
beruf,0.72,0.72,0.4,0.06
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.68
gastarb,1.0,1.0,1.0,0.91
kredit,0.87,0.9,0.77,0.47
