Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.79,0.75,0.43,0.1
verw,0.9,0.8,0.5,0.01
sparkont,1.0,1.0,0.99,0.82
beszeit,0.95,0.94,0.8,0.22
rate,0.92,0.92,0.74,0.27
famges,1.0,1.0,0.98,0.74
buerge,0.31,0.38,0.13,0.04
wohnzeit,0.94,0.93,0.79,0.32
verm,1.0,1.0,1.0,0.87
weitkred,0.48,0.54,0.23,0.06
wohn,1.0,1.0,0.99,0.86
bishkred,0.65,0.59,0.32,0.03
beruf,0.79,0.82,0.56,0.25
pers,0.58,0.67,0.41,0.22
telef,0.96,0.97,0.92,0.66
gastarb,1.0,1.0,0.99,0.9
kredit,0.84,0.88,0.72,0.43
