67, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
49, Private, Masters, Divorced, Sales, Husband, Other, Male,99999,0,60, Iran, >50K
46, Private, 9th, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,9, England, <=50K
61, Private, HS-grad, Divorced, Priv-house-serv, Husband, Other, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
26, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Ecuador, <=50K
36, Private, Bachelors, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, South, <=50K
39, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, South, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,48, Nicaragua, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
23, Private, Masters, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
35, Private, Bachelors, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,60, Yugoslavia, >50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
41, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Jamaica, >50K
32, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,30, China, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
23, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,30, Dominican-Republic, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,65, Germany, <=50K
30, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,50, Canada, >50K
27, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,80, Yugoslavia, <=50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,2054,40, Thailand, <=50K
17, Private, 12th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Puerto-Rico, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, El-Salvador, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1977,40, Guatemala, >50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
26, Private, Bachelors, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
29, Local-gov, Bachelors, Never-married, Adm-clerical, Other-relative, Black, Male,7298,0,43, Japan, >50K
29, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Japan, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
28, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, Laos, <=50K
49, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
24, Local-gov, 12th, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,38, England, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
40, Federal-gov, HS-grad, Widowed, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,30, Mexico, <=50K
49, Self-emp-inc, Assoc-acdm, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,38, Honduras, <=50K
24, Private, Prof-school, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
43, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
53, Self-emp-inc, Assoc-acdm, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
54, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Dominican-Republic, >50K
23, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,35, Jamaica, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
38, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Taiwan, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Thailand, <=50K
37, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,45, Yugoslavia, >50K
52, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,1711,50, Taiwan, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
43, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, Haiti, >50K
20, Private, 11th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,16, Portugal, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Jamaica, <=50K
31, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,45, India, <=50K
57, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,10, France, <=50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1848,40, Germany, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,3103,0,50, Japan, >50K
33, Private, 12th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
29, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Dominican-Republic, <=50K
45, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Germany, >50K
50, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, South, >50K
24, Private, 12th, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,20, Canada, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
44, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
26, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1575,45, United-States, <=50K
55, Private, 9th, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,42, China, <=50K
