Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.77,0.18
moral,0.77,0.73,0.4,0.07
verw,0.9,0.8,0.47,0.04
sparkont,0.74,0.74,0.37,0.09
beszeit,0.95,0.93,0.78,0.18
rate,0.9,0.9,0.69,0.29
famges,0.79,0.76,0.48,0.08
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.92,0.76,0.31
verm,0.98,0.97,0.91,0.45
weitkred,0.48,0.55,0.24,0.07
wohn,0.66,0.71,0.39,0.15
bishkred,0.65,0.57,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.54,0.64,0.37,0.19
telef,0.97,0.98,0.94,0.7
gastarb,0.15,0.24,0.08,0.04
kredit,0.85,0.89,0.73,0.44
