21, Private, HS-grad, Never-married, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,44, United-States, <=50K
71, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
65, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Female,0,0,11, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
20, Private, 12th, Never-married, Craft-repair, Wife, White, Female,0,0,15, United-States, <=50K
39, Private, HS-grad, Separated, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
23, Local-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,5, United-States, <=50K
40, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,50, United-States, <=50K
60, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, >50K
45, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, England, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,1817,30, United-States, <=50K
30, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4319,0,54, Mexico, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, United-States, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,15, United-States, <=50K
29, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,60, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Mexico, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4089,0,40, United-States, >50K
29, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Philippines, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
