Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.59
moral,0.8,0.76,0.44,0.09
verw,0.91,0.82,0.53,0.02
sparkont,0.94,0.94,0.77,0.33
beszeit,0.95,0.94,0.79,0.21
rate,0.91,0.91,0.72,0.31
famges,0.95,0.95,0.83,0.4
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,1.0,1.0,1.0,0.89
weitkred,0.55,0.6,0.29,0.08
wohn,0.95,0.96,0.87,0.49
bishkred,0.67,0.6,0.34,0.02
beruf,0.72,0.71,0.39,0.05
pers,0.58,0.67,0.41,0.21
telef,0.97,0.98,0.95,0.72
gastarb,0.86,0.9,0.76,0.46
kredit,0.86,0.9,0.75,0.45
