Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.78,0.74,0.42,0.05
verw,0.89,0.77,0.46,0.0
sparkont,0.99,0.99,0.97,0.66
beszeit,0.95,0.93,0.79,0.17
rate,0.91,0.91,0.72,0.32
famges,0.99,0.99,0.97,0.65
buerge,0.28,0.35,0.11,0.03
wohnzeit,0.93,0.93,0.78,0.31
verm,1.0,1.0,0.99,0.84
weitkred,0.47,0.51,0.23,0.03
wohn,1.0,1.0,0.99,0.8
bishkred,0.65,0.58,0.32,0.01
beruf,0.71,0.69,0.38,0.02
pers,0.54,0.63,0.37,0.19
telef,0.96,0.97,0.93,0.67
gastarb,0.98,0.99,0.97,0.78
kredit,0.84,0.88,0.72,0.43
