44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,70, Ecuador, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Germany, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,15, France, <=50K
60, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Sales, Not-in-family, Black, Female,0,0,15, France, <=50K
68, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,20, England, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
55, Private, 5th-6th, Divorced, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Mexico, >50K
32, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
31, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,10, Ecuador, <=50K
36, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,24, Trinadad&Tobago, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,45, Vietnam, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,25458,0,50, Columbia, >50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, Yugoslavia, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
53, Private, Bachelors, Widowed, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, El-Salvador, >50K
41, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,50, Peru, <=50K
