Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.78,0.75,0.42,0.08
verw,0.91,0.8,0.51,0.01
sparkont,1.0,1.0,1.0,0.83
beszeit,0.96,0.95,0.82,0.26
rate,0.92,0.92,0.74,0.31
famges,0.99,0.99,0.98,0.7
buerge,0.32,0.4,0.13,0.05
wohnzeit,0.95,0.95,0.83,0.4
verm,1.0,1.0,0.99,0.78
weitkred,0.49,0.54,0.24,0.06
wohn,1.0,1.0,1.0,0.93
bishkred,0.67,0.61,0.34,0.02
beruf,0.72,0.71,0.39,0.03
pers,0.59,0.68,0.42,0.22
telef,0.98,0.98,0.96,0.74
gastarb,1.0,1.0,0.99,0.89
kredit,0.82,0.87,0.7,0.41
