Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,0.99,0.98,0.71
moral,0.8,0.76,0.45,0.09
verw,0.9,0.79,0.47,0.03
sparkont,0.99,0.98,0.93,0.58
beszeit,0.94,0.92,0.75,0.19
rate,0.91,0.91,0.72,0.3
famges,0.98,0.98,0.93,0.55
buerge,0.29,0.37,0.12,0.03
wohnzeit,0.92,0.91,0.73,0.3
verm,1.0,1.0,0.99,0.85
weitkred,0.48,0.52,0.23,0.04
wohn,0.99,0.99,0.96,0.67
bishkred,0.67,0.58,0.33,0.01
beruf,0.75,0.71,0.42,0.02
pers,0.56,0.65,0.39,0.2
telef,0.96,0.97,0.93,0.68
gastarb,0.96,0.97,0.93,0.68
kredit,0.82,0.87,0.7,0.41
