Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.56
moral,0.77,0.73,0.4,0.06
verw,0.89,0.77,0.45,0.0
sparkont,0.97,0.96,0.85,0.41
beszeit,0.95,0.94,0.81,0.23
rate,0.88,0.88,0.64,0.24
famges,0.94,0.93,0.79,0.36
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.92,0.92,0.75,0.31
verm,1.0,1.0,0.98,0.74
weitkred,0.53,0.57,0.27,0.06
wohn,0.76,0.79,0.51,0.19
bishkred,0.67,0.59,0.33,0.02
beruf,0.73,0.71,0.41,0.02
pers,0.58,0.67,0.41,0.22
telef,0.97,0.98,0.95,0.72
gastarb,0.32,0.43,0.19,0.1
kredit,0.84,0.88,0.73,0.43
