Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,1.0,0.88
moral,0.8,0.77,0.45,0.11
verw,0.91,0.83,0.56,0.02
sparkont,1.0,1.0,1.0,0.88
beszeit,0.94,0.92,0.76,0.17
rate,0.92,0.92,0.74,0.33
famges,1.0,1.0,0.98,0.73
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.93,0.77,0.33
verm,1.0,1.0,0.99,0.81
weitkred,0.51,0.55,0.25,0.04
wohn,1.0,1.0,1.0,0.87
bishkred,0.75,0.72,0.49,0.06
beruf,0.76,0.71,0.44,0.01
pers,0.61,0.7,0.44,0.23
telef,0.96,0.97,0.93,0.68
gastarb,1.0,1.0,0.99,0.87
kredit,0.85,0.89,0.74,0.45
