Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.78,0.21
moral,0.8,0.77,0.45,0.07
verw,0.88,0.75,0.42,0.0
sparkont,0.75,0.75,0.38,0.11
beszeit,0.95,0.93,0.8,0.2
rate,0.91,0.91,0.72,0.3
famges,0.79,0.76,0.48,0.09
buerge,0.33,0.42,0.14,0.07
wohnzeit,0.93,0.92,0.77,0.34
verm,0.97,0.97,0.89,0.45
weitkred,0.51,0.56,0.26,0.05
wohn,0.71,0.75,0.45,0.18
bishkred,0.65,0.58,0.32,0.03
beruf,0.71,0.68,0.38,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.95,0.72
gastarb,0.23,0.34,0.13,0.07
kredit,0.85,0.89,0.74,0.44
