Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.91,0.44
moral,0.8,0.77,0.45,0.09
verw,0.89,0.77,0.46,0.01
sparkont,0.96,0.96,0.84,0.38
beszeit,0.95,0.93,0.78,0.2
rate,0.91,0.91,0.72,0.28
famges,0.89,0.88,0.67,0.23
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.92,0.91,0.74,0.31
verm,0.99,0.99,0.97,0.65
weitkred,0.53,0.59,0.27,0.08
wohn,0.73,0.77,0.47,0.17
bishkred,0.66,0.6,0.33,0.03
beruf,0.73,0.71,0.4,0.03
pers,0.6,0.69,0.43,0.22
telef,0.95,0.96,0.9,0.63
gastarb,0.26,0.36,0.15,0.07
kredit,0.88,0.91,0.78,0.48
