Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.79,0.74,0.43,0.06
verw,0.9,0.79,0.47,0.03
sparkont,1.0,0.99,0.98,0.69
beszeit,0.94,0.93,0.77,0.19
rate,0.92,0.92,0.75,0.29
famges,0.99,0.99,0.97,0.67
buerge,0.29,0.37,0.12,0.04
wohnzeit,0.94,0.93,0.78,0.35
verm,1.0,1.0,0.99,0.83
weitkred,0.51,0.55,0.26,0.05
wohn,1.0,1.0,0.99,0.8
bishkred,0.66,0.58,0.33,0.01
beruf,0.73,0.71,0.4,0.03
pers,0.55,0.64,0.38,0.2
telef,0.96,0.97,0.92,0.65
gastarb,0.99,0.99,0.97,0.79
kredit,0.81,0.86,0.68,0.4
