19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,76, Ireland, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, England, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,3921,0,20, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
52, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
32, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Other-relative, Black, Female,0,0,40, Dominican-Republic, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, Taiwan, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,37, Taiwan, <=50K
65, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, >50K
25, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,48, Nicaragua, >50K
29, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,25, Canada, <=50K
40, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Dominican-Republic, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,3103,0,40, Portugal, >50K
47, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,45, Vietnam, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Yugoslavia, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, >50K
23, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
37, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,50, Japan, <=50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Germany, <=50K
41, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,45, Canada, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
61, Private, Masters, Separated, Exec-managerial, Unmarried, Black, Male,0,0,32, Trinadad&Tobago, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Scotland, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, El-Salvador, <=50K
70, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,12, Guatemala, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,77, Guatemala, >50K
41, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,32, Ecuador, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,48, Outlying-US(Guam-USVI-etc), >50K
52, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, Laos, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Laos, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,48, France, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, Mexico, <=50K
49, Private, Assoc-voc, Divorced, Other-service, Husband, Black, Male,0,0,54, Portugal, >50K
43, Federal-gov, 7th-8th, Divorced, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,50, England, >50K
57, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, Hungary, <=50K
28, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
19, Private, 11th, Separated, Prof-specialty, Wife, Black, Male,0,0,2, Japan, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,80, Hong, <=50K
41, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
22, Private, 9th, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,30, Cuba, <=50K
35, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,35, Ecuador, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, India, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
59, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Japan, >50K
24, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Taiwan, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1976,40, Trinadad&Tobago, <=50K
63, Private, 10th, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,0,0,35, Ecuador, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,38, Canada, <=50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,48, Thailand, >50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Haiti, >50K
32, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,20, Jamaica, <=50K
27, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,42, Iran, <=50K
50, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,30, France, <=50K
82, Private, 9th, Married-civ-spouse, Sales, Husband, Other, Female,0,0,20, Germany, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,40, Laos, >50K
48, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Japan, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, Taiwan, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Taiwan, >50K
19, Private, 11th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,54, Dominican-Republic, <=50K
