laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
3 6 4 3 679 4 4 4 3 1 2 3 35 3 2 1 3 2 1 2 1
3 36 2 2 3446 5 5 4 2 1 2 1 37 3 3 1 3 2 1 2 1
4 60 3 0 6940 4 5 4 1 1 4 3 25 3 1 2 3 1 2 2 1
2 18 1 9 1083 5 5 4 2 1 2 1 45 3 3 1 2 2 1 1 1
2 12 4 6 753 1 5 4 4 1 4 3 50 3 1 3 3 2 1 1 1
2 41 2 2 6369 2 4 3 4 1 2 2 33 3 2 2 4 2 2 1 0
2 36 0 3 3558 4 4 4 3 1 1 1 28 3 3 1 3 2 2 2 1
3 12 4 0 8069 5 1 2 1 1 1 2 54 3 1 1 3 2 2 2 0
2 6 4 0 1393 2 5 4 2 1 3 3 36 1 1 1 2 2 1 2 1
2 24 4 1 5084 3 3 4 4 2 4 4 35 3 3 1 3 2 1 1 0
1 9 2 6 795 4 3 4 2 1 4 1 36 3 3 1 3 2 2 2 1
3 12 4 9 1591 2 5 4 2 2 3 3 50 1 1 2 3 2 1 2 1
4 9 2 2 2224 3 5 2 2 1 4 2 48 3 3 2 3 2 2 1 1
2 12 4 1 3632 4 3 2 4 1 4 4 30 3 1 2 2 2 2 2 1
2 18 4 3 2384 3 5 2 1 1 4 1 26 3 1 2 3 2 2 1 1
2 18 3 2 2664 2 2 4 4 1 2 4 21 1 1 1 3 2 1 1 1
3 60 2 0 12235 5 2 4 2 1 2 1 28 3 1 1 4 2 1 2 1
4 18 2 3 1860 3 3 4 1 1 1 4 23 3 2 2 4 2 2 2 0
4 24 2 3 1961 3 3 2 1 1 4 2 31 3 3 2 3 2 1 2 0
4 12 4 6 619 3 5 4 3 1 4 2 41 1 2 1 2 2 1 1 0
1 15 4 3 2367 1 1 3 2 1 3 4 36 3 2 1 4 2 2 2 1
4 18 4 1 1206 3 3 4 3 1 4 2 29 3 1 2 3 2 1 1 1
1 12 2 3 1532 2 3 3 4 1 3 4 22 3 2 2 3 2 1 1 0
2 48 2 2 6350 3 5 1 3 1 1 2 24 1 1 1 3 2 1 1 0
3 9 2 2 1393 1 2 4 1 1 1 4 29 3 2 3 2 2 1 2 1
2 24 4 0 5127 5 3 3 4 1 4 3 32 3 1 1 3 2 1 1 1
1 9 4 9 1139 1 2 4 1 1 4 3 49 3 3 2 2 2 2 2 1
2 12 2 2 1282 1 5 2 4 1 2 2 22 3 3 2 3 2 1 1 1
3 12 2 0 1075 1 2 4 4 3 1 3 26 3 2 1 3 2 1 2 1
1 60 4 3 7075 5 4 4 3 1 4 2 27 1 2 1 3 2 2 1 0
4 6 4 0 3336 3 3 2 3 1 4 1 45 3 2 1 3 1 2 2 1
1 12 4 2 700 5 5 4 2 1 4 1 35 3 1 1 3 2 1 1 0
2 36 4 3 2700 2 5 2 2 1 4 3 50 3 1 1 3 2 2 2 1
4 24 4 1 5150 4 5 2 4 1 4 4 54 3 2 2 3 2 1 2 1
1 36 4 2 3855 3 3 2 3 1 1 4 30 3 3 2 4 2 2 2 0
1 24 1 3 7667 4 4 2 1 1 3 4 29 3 3 2 4 2 1 1 1
1 48 2 9 6514 1 5 4 3 1 3 3 59 1 3 1 3 2 2 1 1
1 9 3 1 1330 2 2 2 2 1 2 1 26 3 1 2 4 2 2 1 0
3 9 4 5 1101 1 5 3 2 1 4 1 37 3 2 2 3 2 1 1 1
2 45 2 1 3965 2 2 2 4 1 4 4 34 1 3 1 3 2 1 1 1
4 12 3 3 1807 5 3 1 4 1 1 2 24 3 1 1 2 1 1 2 1
1 16 2 0 1415 1 4 4 3 1 3 1 35 2 3 2 4 2 2 2 1
1 9 2 0 1240 1 2 4 4 1 1 3 23 3 1 1 3 2 2 2 1
1 48 4 3 11786 1 5 2 2 1 4 1 47 1 1 2 3 2 2 2 1
4 30 2 0 2395 3 3 4 4 1 4 3 40 3 2 1 3 2 1 2 0
1 48 3 0 8358 3 3 2 1 1 4 1 30 3 2 1 3 2 2 2 1
2 24 2 3 1402 1 3 3 1 1 4 2 31 1 2 1 3 2 1 2 1
4 12 3 2 1512 1 5 3 2 3 4 1 36 1 1 2 2 2 2 2 1
2 15 2 3 2625 1 2 2 1 1 3 4 25 3 3 1 3 2 1 2 1
1 12 2 1 3594 2 3 4 2 1 2 4 38 2 1 1 3 2 2 2 1
