Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.91,0.75,0.18
moral,0.8,0.76,0.44,0.1
verw,0.9,0.8,0.51,0.02
sparkont,0.77,0.77,0.4,0.12
beszeit,0.94,0.92,0.77,0.17
rate,0.93,0.93,0.78,0.32
famges,0.83,0.82,0.56,0.14
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.94,0.94,0.81,0.36
verm,0.98,0.98,0.93,0.48
weitkred,0.51,0.57,0.26,0.08
wohn,0.74,0.78,0.48,0.19
bishkred,0.66,0.6,0.33,0.03
beruf,0.72,0.69,0.39,0.02
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.94,0.69
gastarb,0.32,0.43,0.19,0.1
kredit,0.85,0.89,0.73,0.44
