21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,24, Dominican-Republic, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Iran, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, England, <=50K
48, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
48, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, Trinadad&Tobago, >50K
37, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, El-Salvador, >50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,0,0,40, Ecuador, <=50K
26, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,35, Yugoslavia, <=50K
60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
32, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
31, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, Ireland, <=50K
38, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,1813,40, Mexico, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Canada, <=50K
34, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,25, Vietnam, <=50K
30, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Columbia, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
29, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Jamaica, <=50K
18, Private, 11th, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,7, Yugoslavia, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,15, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Italy, >50K
29, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,1485,40, China, <=50K
