28, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Hong, <=50K
29, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, Mexico, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Mexico, <=50K
58, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States, >50K
35, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Japan, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Female,4556,0,40, Iran, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, India, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,77, United-States, <=50K
32, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, China, <=50K
23, Private, Masters, Married-civ-spouse, Sales, Other-relative, Black, Male,0,0,40, Honduras, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1887,40, United-States, <=50K
74, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,30, United-States, <=50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, France, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Other-relative, White, Male,0,0,25, Vietnam, <=50K
33, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Female,12912,0,60, United-States, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Vietnam, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Italy, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, England, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Mexico, <=50K
29, Private, Bachelors, Divorced, Protective-serv, Unmarried, White, Male,0,0,30, India, <=50K
64, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, Puerto-Rico, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, China, <=50K
30, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, >50K
28, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
26, Private, Masters, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Tech-support, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,16, Iran, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
31, State-gov, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Jamaica, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,48, India, <=50K
27, Self-emp-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, >50K
56, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5243,0,60, United-States, >50K
21, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
38, Local-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,45, Nicaragua, <=50K
48, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
53, Federal-gov, HS-grad, Widowed, Prof-specialty, Husband, Asian-Pac-Islander, Male,2256,0,40, United-States, >50K
34, Self-emp-inc, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,60, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
29, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,55, Yugoslavia, <=50K
40, Private, 9th, Divorced, Exec-managerial, Husband, White, Male,709,0,38, Guatemala, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Ireland, <=50K
50, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private, Some-college, Divorced, Sales, Husband, White, Female,0,0,60, United-States, >50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hong, >50K
53, Self-emp-inc, 10th, Never-married, Tech-support, Other-relative, White, Female,0,0,30, United-States, <=50K
47, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Female,14253,0,40, United-States, >50K
29, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,99999,0,40, United-States, >50K
40, Private, 11th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Cuba, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
69, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,99999,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
32, Private, HS-grad, Divorced, Prof-specialty, Other-relative, White, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
32, Local-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,20, United-States, <=50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,32, Philippines, <=50K
30, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,20, Poland, <=50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,1887,40, United-States, >50K
53, Local-gov, 11th, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,36, Greece, <=50K
64, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Male,3103,0,40, Italy, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1902,40, United-States, >50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Honduras, <=50K
34, Private, Bachelors, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, Philippines, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
33, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,30, Hungary, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,7298,0,40, United-States, >50K
51, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,43, United-States, <=50K
38, Self-emp-inc, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,65, United-States, <=50K
52, Private, HS-grad, Divorced, Tech-support, Husband, White, Male,0,0,40, Germany, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,50, El-Salvador, >50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, >50K
39, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, Mexico, <=50K
55, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,40, United-States, >50K
55, Self-emp-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Puerto-Rico, >50K
70, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, England, >50K
80, Local-gov, 7th-8th, Divorced, Sales, Husband, White, Male,0,0,25, United-States, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
61, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,40, United-States, >50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, Nicaragua, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,3103,0,60, United-States, >50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
36, Without-pay, Some-college, Never-married, Sales, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,15, Japan, <=50K
75, Private, HS-grad, Widowed, Sales, Husband, White, Male,0,0,16, Thailand, <=50K
58, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,54, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,25, United-States, <=50K
34, Private, Prof-school, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Never-married, Prof-specialty, Husband, Black, Male,0,0,57, United-States, >50K
36, Private, HS-grad, Never-married, Sales, Other-relative, Black, Male,0,0,40, Ecuador, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
46, Private, Prof-school, Never-married, Exec-managerial, Husband, White, Female,0,0,45, United-States, <=50K
30, Local-gov, 12th, Never-married, Other-service, Wife, White, Male,0,0,32, United-States, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,1901,45, Japan, >50K
21, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
73, Private, 10th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,25, South, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,17, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Wife, White, Female,0,0,40, United-States, >50K
23, Private, Prof-school, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Greece, >50K
42, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,53, United-States, >50K
51, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
55, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,70, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,65, United-States, <=50K
38, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,38, Greece, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,52, United-States, >50K
42, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Hong, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,47, United-States, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,36, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,1902,50, United-States, >50K
64, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,60, United-States, >50K
36, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,25, Haiti, <=50K
43, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,21, United-States, <=50K
61, Private, 7th-8th, Widowed, Other-service, Wife, White, Female,0,0,20, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1974,60, United-States, <=50K
31, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,15, United-States, <=50K
51, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,50, United-States, >50K
