37, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,30, Laos, >50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,3404,0,40, Germany, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, >50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
79, Private, 5th-6th, Widowed, Protective-serv, Not-in-family, Black, Female,0,0,36, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, El-Salvador, <=50K
20, Private, 11th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,8, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,6708,0,40, El-Salvador, >50K
41, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
18, Private, 10th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1887,40, Mexico, >50K
51, Self-emp-not-inc, Bachelors, Divorced, Tech-support, Not-in-family, Black, Female,0,0,50, Puerto-Rico, <=50K
31, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Canada, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Trinadad&Tobago, >50K
30, Private, Bachelors, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Yugoslavia, <=50K
34, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1873,40, Peru, <=50K
40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,0,0,65, El-Salvador, <=50K
49, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,36, Nicaragua, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Female,7687,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,30, France, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Other, Male,0,0,40, Ecuador, <=50K
40, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, Guatemala, <=50K
34, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,40, Canada, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Canada, >50K
25, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Other, Male,0,0,24, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
28, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,60, France, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Honduras, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Hong, <=50K
52, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,35, England, <=50K
48, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,68, Ecuador, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, Portugal, >50K
58, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,15024,0,60, Peru, >50K
27, Private, Doctorate, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,45, Peru, <=50K
