Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.96,0.87,0.35
moral,0.79,0.76,0.43,0.08
verw,0.88,0.76,0.46,0.01
sparkont,0.88,0.88,0.6,0.24
beszeit,0.94,0.93,0.77,0.18
rate,0.92,0.92,0.75,0.31
famges,0.91,0.9,0.72,0.28
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.94,0.93,0.79,0.32
verm,0.99,0.99,0.97,0.69
weitkred,0.59,0.63,0.33,0.08
wohn,0.9,0.91,0.75,0.34
bishkred,0.66,0.59,0.32,0.04
beruf,0.74,0.72,0.42,0.03
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.67
gastarb,0.71,0.78,0.55,0.3
kredit,0.86,0.9,0.75,0.45
