22, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
37, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,71, United-States, >50K
38, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Female,0,0,40, Vietnam, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, United-States, >50K
39, Self-emp-inc, Bachelors, Married-spouse-absent, Sales, Not-in-family, White, Female,0,1891,40, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Mexico, <=50K
34, Private, HS-grad, Divorced, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,30, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,20, Philippines, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,56, United-States, <=50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,9, United-States, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,16, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,1702,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Greece, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,38, Guatemala, <=50K
37, State-gov, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,36, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3137,0,50, United-States, >50K
45, State-gov, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,32, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
45, Private, Bachelors, Never-married, Priv-house-serv, Wife, White, Male,0,0,30, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
